Joueur,Equipe_principale,Poste_simplifie,Score_Forme,Matchs,Minutes,Buts,Passes_decisives,Matchs_6_derniers
Igor Jesus,Nottingham Forest,FWD,5.38,23,1397,2,1,6
Thierno Barry,Everton,FWD,7.67,24,1394,5,0,6
Kiernan Dewsbury-Hall,Everton,MID,4.84,17,1390,4,2,6
João Palhinha,Tottenham,DEF,4.46,21,1383,3,2,6
Joelinton,Newcastle United,MID,5.44,19,1377,2,0,6
Nico González,Manchester City,MID,4.0,20,1368,1,0,6
Mohamed Salah,Liverpool,MID,8.18,16,1366,4,5,6
Hugo Ekitike,Liverpool,FWD,8.18,21,1365,10,2,6
Dan Burn,Newcastle United,DEF,4.57,16,1360,0,2,6
Danny Welbeck,Brighton,FWD,5.01,23,1357,8,0,6
Kenny Tete,Fulham,DEF,4.33,16,1356,1,0,6
Calvin Bassey,Fulham,MID,4.71,17,1353,1,0,6
Leandro Trossard,Arsenal,MID,4.67,20,1352,5,4,6
Konstantinos Mavropanos,West Ham,DEF,4.77,17,1347,0,0,6
Quilindschy Hartman,Burnley,DEF,5.09,15,1346,0,4,6
Callum Hudson-Odoi,Nottingham Forest,MID,4.65,22,1344,3,1,6
Patrick Dorgu,Manchester United,MID,8.02,22,1327,3,3,6
Malo Gusto,Chelsea,DEF,4.08,21,1327,2,2,6
Riccardo Calafiori,Arsenal,MID,4.0,17,1311,1,2,6
Mikkel Damsgaard,Brentford,MID,4.32,20,1311,1,3,6
Josko Gvardiol,Manchester City,DEF,4.58,16,1307,2,2,6
Youri Tielemans,Aston Villa,MID,6.17,17,1302,0,4,6
Santiago Bueno,Wolverhampton Wanderers,DEF,5.06,15,1289,2,0,6
Aaron Wan-Bissaka,West Ham,DEF,6.59,15,1289,0,2,6
Anthony Gordon,Newcastle United,FWD,6.12,19,1284,3,1,6
Bafode Diakite,Bournemouth,MID,4.0,18,1276,0,0,6
Richarlison,Tottenham,MID,5.16,21,1252,7,3,6
Ryan Sessegnon,Fulham,MID,4.0,17,1252,2,1,6
Reinildo,Sunderland,DEF,5.29,15,1251,0,1,6
Idrissa Gueye,Everton,MID,5.71,15,1234,2,1,6
Lucas Digne,Aston Villa,MID,4.0,22,1232,0,4,6
Tyler Adams,Bournemouth,MID,4.41,15,1226,2,1,6
Xavi Simons,Tottenham,MID,6.93,18,1218,1,4,6
Jackson Tchatchoua,Wolverhampton Wanderers,MID,4.28,22,1218,0,0,6
Sasa Lukic,Fulham,MID,4.74,19,1215,1,2,6
Pau Torres,Aston Villa,DEF,4.84,15,1215,0,0,6
Dango Ouattara,Brentford,MID,5.15,18,1213,4,0,6
Ismaila Sarr,Crystal Palace,MID,6.55,14,1202,4,1,6
Harvey Barnes,Newcastle United,FWD,6.04,23,1197,5,0,6
Lewis Hall,Newcastle United,DEF,5.3,17,1197,0,1,6
Daichi Kamada,Crystal Palace,MID,4.92,14,1195,0,0,6
Jéremy Doku,Manchester City,MID,4.0,20,1190,1,4,6
Hjalmar Ekdal,Burnley,MID,4.06,15,1185,0,0,6
Noah Okafor,Leeds,MID,4.0,21,1183,2,0,6
Kristoffer Ajer,Brentford,DEF,4.45,18,1183,0,1,6
Mats Wieffer,Brighton,MID,4.88,16,1183,0,3,6
Matthijs de Ligt,Manchester United,DEF,5.54,13,1170,1,0,6
Ibrahim Sangare,Nottingham Forest,MID,6.1,16,1164,2,2,6
Yerson Mosquera,Wolverhampton Wanderers,DEF,5.37,15,1153,0,0,6
Leny Yoro,Manchester United,MID,4.0,22,1145,0,0,6
Jhon Arias,Wolverhampton Wanderers,MID,4.0,23,1140,1,0,6
Hee-Chan Hwang,Wolverhampton Wanderers,FWD,5.6,19,1133,2,1,6
Carlos Baleba,Brighton,MID,4.15,19,1130,0,0,6
Lewis Miley,Newcastle United,MID,5.17,19,1110,1,3,6
Emile Smith-Rowe,Fulham,MID,4.55,24,1105,3,0,6
Fabian Schär,Newcastle United,DEF,5.07,16,1096,0,0,6
Josh Laurent,Burnley,MID,4.0,21,1095,1,0,6
Emmanuel Agbadou,Wolverhampton Wanderers,DEF,4.97,14,1093,0,0,6
Eberechi Eze,"Arsenal,Crystal Palace",MID,4.0,19,1083,4,2,6
Sam Johnstone,Wolverhampton Wanderers,GK,6.0,12,1080,0,0,6
José Sá,Wolverhampton Wanderers,GK,6.0,12,1080,0,0,6
Curtis Jones,Liverpool,MID,4.01,21,1070,0,1,6
Maxim De Cuyper,Brighton,DEF,4.0,20,1062,2,0,6
Dan Ndoye,Nottingham Forest,MID,4.0,17,1062,1,1,6
Benjamin Sesko,Manchester United,MID,5.99,19,1061,5,1,6
Will Hughes,Crystal Palace,MID,4.59,21,1056,0,0,6
Valentino Livramento,Newcastle United,MID,4.0,13,1044,0,1,6
Jacob Murphy,Newcastle United,MID,4.0,19,1042,2,1,6
Rayan Cherki,Manchester City,MID,5.2,19,1040,3,7,6
Timothy Castagne,Fulham,DEF,4.84,19,1037,0,0,6
Nicolò Savona,Nottingham Forest,MID,4.01,14,1036,2,0,6
Emiliano Buendía,Aston Villa,MID,5.47,22,1033,5,2,6
Randal Kolo Muani,Tottenham,MID,4.42,16,1031,0,0,6
Piero Hincapié,Arsenal,DEF,4.24,14,1028,0,0,6
Mathias Jensen,Brentford,MID,4.99,22,1025,2,0,6
Wilson Isidor,Sunderland,MID,4.0,21,1017,4,0,6
Kaoru Mitoma,Brighton,FWD,5.93,14,1012,2,1,6
Brennan Johnson,"Crystal Palace,Tottenham",MID,4.68,21,1010,2,0,6
Amadou Onana,Aston Villa,MID,4.0,15,1009,2,0,6
Martin Odegaard,Arsenal,MID,5.52,18,1009,1,4,6
Lyle Foster,Burnley,FWD,4.0,17,1006,3,1,6
Chemsdine Talbi,Sunderland,MID,5.61,18,1005,3,1,6
Vitaly Janelt,Brentford,MID,6.42,19,1004,0,4,6
Jefferson Lerma,Crystal Palace,MID,5.07,21,993,0,1,6
Tomas Soucek,West Ham,MID,4.84,21,991,2,0,6
Jaka Bijol,Leeds,DEF,5.18,12,991,1,1,6
Mikel Merino,Arsenal,MID,4.33,21,977,4,3,6
Toti,Wolverhampton Wanderers,DEF,4.71,13,973,0,0,6
Freddie Potts,West Ham,MID,4.0,17,973,0,1,6
Kieran Trippier,Newcastle United,DEF,5.27,12,972,0,0,6
Conor Bradley,Liverpool,DEF,4.81,15,962,0,1,6
Lutsharel Geertruida,Sunderland,MID,4.0,18,957,0,0,6
David Brooks,Bournemouth,MID,6.0,19,955,1,2,6
Brian Brobbey,Sunderland,FWD,7.17,19,941,5,1,6
Tim Iroegbunam,Everton,MID,4.65,18,941,0,2,6
Ian Maatsen,Aston Villa,DEF,4.63,18,941,0,0,6
Axel Tuanzebe,Burnley,DEF,5.0,11,939,1,0,6
Kyle Walker-Peters,West Ham,DEF,4.86,16,935,1,0,6
Rico Henry,Brentford,DEF,4.22,20,935,0,0,6
Sean Longstaff,Leeds,MID,4.0,14,930,1,2,6
Keane Lewis-Potter,Brentford,MID,4.0,22,911,2,1,6
Joshua King,Fulham,MID,4.0,20,911,0,1,6
Justin Kluivert,Bournemouth,MID,6.23,18,909,2,0,6
Alejandro Garnacho,Chelsea,MID,5.09,15,898,1,3,6
Sven Botman,Newcastle United,DEF,4.04,13,885,0,0,6
Omari Hutchinson,Nottingham Forest,MID,4.0,18,882,1,2,6
Wilson Odobert,Tottenham,MID,5.27,22,881,0,2,6
Cole Palmer,Chelsea,MID,6.6,13,873,4,0,6
Jacob Bruun Larsen,Burnley,MID,4.0,19,872,0,1,6
Marshall Munetsi,Wolverhampton Wanderers,MID,4.0,13,863,1,1,6
Jorge Cuenca,Fulham,DEF,4.72,11,856,0,0,6
Wesley Fofana,Chelsea,MID,4.0,13,849,0,1,6
Callum Wilson,West Ham,MID,4.0,20,846,5,1,6
James Hill,Bournemouth,DEF,5.53,15,840,0,1,6
Ilia Gruev,Leeds,MID,4.79,15,836,0,1,6
Mason Mount,Manchester United,MID,4.0,17,827,3,0,6
Tolu Arokodare,Wolverhampton Wanderers,FWD,4.71,20,818,1,0,6
Beto,Everton,MID,4.0,24,811,3,0,6
Lucas Bergvall,Tottenham,MID,4.0,17,811,1,2,6
Antonee Robinson,Fulham,DEF,4.45,12,794,0,0,6
Kevin,Fulham,MID,4.0,20,789,1,1,6
Armando Broja,Burnley,MID,4.0,18,788,1,1,6
Loum Tchaouna,Burnley,MID,4.0,18,784,1,0,6
Eli Junior Kroupi,Bournemouth,MID,5.85,19,783,8,0,6
Nicolás Domínguez,Nottingham Forest,MID,4.73,15,782,1,0,6
Anthony Elanga,Newcastle United,FWD,4.0,20,776,0,1,6
Archie Gray,Tottenham,MID,4.0,14,773,1,0,6
Lucas Pires,Burnley,MID,4.97,10,766,0,0,6
Morato,Nottingham Forest,MID,4.0,12,754,0,0,6
Ao Tanaka,Leeds,MID,4.0,20,753,2,0,6
Lewis Cook,Bournemouth,MID,4.87,13,742,0,1,6
Soungoutou Magassa,West Ham,MID,4.2,14,740,1,0,6
Iyenoma Destiny Udogie,Tottenham,MID,4.58,12,732,0,1,6
Manuel Ugarte,Manchester United,MID,4.0,17,731,0,0,6
Adam Smith,Bournemouth,DEF,4.0,13,727,0,1,6
Jean-Ricner Bellegarde,Wolverhampton Wanderers,MID,4.0,15,726,1,0,6
Pape Sarr,Tottenham,MID,4.0,15,722,2,2,6
Karl Darlow,Leeds,GK,6.0,8,720,0,0,6
Brajan Gruda,Brighton,MID,4.0,18,716,1,1,6
Lisandro Martínez,Manchester United,DEF,4.86,12,709,0,0,6
Rodri,Manchester City,MID,4.61,12,708,0,0,6
David Møller Wolfe,Wolverhampton Wanderers,MID,4.0,15,708,0,2,6
Tosin Adarabioyo,Chelsea,DEF,4.07,11,705,0,0,6
Mateus Mané,Wolverhampton Wanderers,MID,6.15,13,704,2,1,6
Ola Aina,Nottingham Forest,DEF,4.91,8,701,0,0,6
Zian Flemming,Burnley,MID,4.0,16,689,5,0,6
Liam Delap,Chelsea,FWD,4.52,15,688,1,0,6
Estêvão,Chelsea,MID,5.51,18,686,2,2,6
Joël Veltman,Brighton,MID,4.35,13,679,1,0,6
Carlos Alcaraz,Everton,MID,4.42,16,675,0,1,6
Simon Adingra,Sunderland,MID,4.45,14,665,1,0,6
Kevin Danso,Tottenham,DEF,4.0,13,662,0,0,6
Jack Hinshelwood,Brighton,MID,4.11,13,661,1,1,6
Bertrand Traoré,Sunderland,MID,4.87,10,655,1,0,6
Noni Madueke,Arsenal,MID,4.29,15,653,0,1,6
Abduqodir Khusanov,Manchester City,DEF,4.48,10,652,0,0,6
James Justin,Leeds,DEF,5.42,15,648,1,0,6
Oliver Scarles,West Ham,MID,4.0,10,647,0,0,6
Ayden Heaven,Manchester United,MID,4.0,11,643,0,1,6
Amine Adli,Bournemouth,MID,5.89,20,638,2,1,6
Marcus Edwards,Burnley,MID,5.96,14,633,1,2,6
Harry Maguire,Manchester United,DEF,4.92,11,621,1,1,6
Matt Doherty,Wolverhampton Wanderers,DEF,4.58,8,619,0,0,6
Bashir Humphreys,Burnley,DEF,4.82,8,617,0,0,6
Dwight McNeil,Everton,MID,4.63,14,614,0,1,6
Jacob Ramsey,Newcastle United,MID,4.0,14,611,0,0,6
Lukas Nmecha,Leeds,MID,4.0,19,610,5,0,6
Andrey Santos,Chelsea,MID,4.0,17,604,0,0,6
Donyell Malen,Aston Villa,FWD,5.17,21,600,4,1,6
Evann Guessand,Aston Villa,MID,4.0,13,593,0,1,6
Justin Devenny,Crystal Palace,MID,4.97,18,574,1,0,6
Eliezer Mayenda,Sunderland,FWD,4.0,14,567,1,0,6
Mathys Tel,Tottenham,MID,4.02,17,560,3,0,6
Chris Wood,Nottingham Forest,MID,4.11,8,560,2,0,6
Gabriel Martinelli,Arsenal,MID,4.0,18,554,1,1,6
Victor Lindelöf,Aston Villa,MID,4.0,11,553,0,1,6
Aaron Ramsdale,Newcastle United,GK,6.07,7,548,0,0,6
Lamare Bogarde,Aston Villa,MID,4.0,19,545,0,0,6
Altay Bayindir,Manchester United,GK,6.03,6,540,0,0,6
Aaron Hickey,Brentford,MID,4.0,16,532,0,0,6
Andrew Robertson,Liverpool,MID,4.0,14,527,0,0,6
Jeremie Frimpong,Liverpool,DEF,4.8,11,526,0,1,6
Alexander Isak,Liverpool,MID,4.0,10,519,2,1,6
Sávio,Manchester City,MID,4.0,15,519,0,1,6
Tyrone Mings,Aston Villa,MID,4.0,8,504,0,0,6
Habib Diarra,Sunderland,MID,5.04,7,501,1,0,6
Samuel Chukwueze,Fulham,MID,6.63,11,483,3,4,6
Josh Acheampong,Chelsea,MID,4.0,9,482,1,0,6
Benoit Badiashile Mukinayi,Chelsea,DEF,4.01,8,478,0,0,6
Nathan Aké,Manchester City,DEF,4.0,12,476,0,0,6
Joshua Zirkzee,Manchester United,MID,4.0,14,468,2,1,6
Hannibal Mejbri,Burnley,MID,4.0,16,460,0,1,6
Kobbie Mainoo,Manchester United,MID,4.8,15,458,0,1,6
Jamie Bynoe-Gittens,Chelsea,MID,4.0,16,455,0,2,6
Rodrigo Gomes,Wolverhampton Wanderers,MID,4.0,9,452,1,0,6
Noussair Mazraoui,Manchester United,MID,4.0,11,452,0,0,6
Giorgi Mamardashvili,Liverpool,GK,6.0,5,450,0,0,5
Tom Cairney,Fulham,MID,4.0,16,447,1,0,6
John Victor,Nottingham Forest,GK,6.0,5,440,0,0,5
Nathaniel Clyne,Crystal Palace,MID,4.96,7,438,0,1,6
Ki-Jana Hoever,Wolverhampton Wanderers,MID,4.0,8,437,0,0,6
Jadon Sancho,Aston Villa,MID,4.07,13,430,0,0,6
Cristhian Mosquera,Arsenal,DEF,4.0,10,430,0,0,6
James Ward-Prowse,West Ham,MID,5.37,5,417,0,0,5
Niclas Füllkrug,West Ham,MID,4.0,8,416,0,0,6
Issa Diop,Fulham,MID,4.0,8,413,0,0,6
Douglas Luiz,"Aston Villa,Nottingham Forest",MID,4.0,9,412,0,0,6
Ben White,Arsenal,MID,4.0,7,406,0,1,6
Marco Bizot,Aston Villa,MID,4.29,5,403,0,0,5
Eddie Nketiah,Crystal Palace,MID,4.0,12,396,2,0,6
Chris Rigg,Sunderland,MID,4.0,10,388,0,0,6
Pascal Groß,Brighton,MID,5.97,5,375,1,0,6
Rodrigo Muniz,Fulham,MID,4.29,7,364,1,1,6
Veljko Milosavljevic,Bournemouth,MID,4.0,7,363,0,0,6
Mads Hermansen,West Ham,GK,5.4,4,360,0,0,4
John Stones,Manchester City,MID,4.0,7,356,0,0,6
Daniel James,Leeds,FWD,4.0,10,349,0,0,6
Jaydee Canvot,Crystal Palace,DEF,4.0,9,348,0,0,6
Oleksandr Zinchenko,Nottingham Forest,DEF,4.0,5,347,0,0,5
Valentín Castellanos,West Ham,FWD,5.4,4,339,0,0,6
Tyler Dibling,Everton,MID,4.0,13,336,0,0,6
Wilfried Gnonto,Leeds,MID,4.0,14,336,0,1,6
Yoane Wissa,Newcastle United,MID,4.0,10,329,1,0,6
Merlin Röhl,Everton,MID,4.0,10,320,0,0,6
Harrison Armstrong,Everton,MID,4.0,6,316,0,0,6
Ryan Yates,Nottingham Forest,MID,4.0,12,312,0,1,6
Jorrel Hato,Chelsea,DEF,4.0,9,312,0,0,6
Ryan Christie,Bournemouth,MID,4.0,14,306,1,0,6
Joe Willock,Newcastle United,MID,4.0,13,306,0,0,6
Rico Lewis,Manchester City,DEF,4.0,10,299,0,1,6
Dilane Bakwa,Nottingham Forest,MID,4.0,8,297,0,1,6
Dennis Cirkin,Sunderland,MID,4.0,6,295,0,0,6
James Milner,Brighton,MID,4.0,14,293,1,1,6
Romaine Mundle,Sunderland,MID,4.0,11,287,0,0,6
Rayan Ait Nouri,Manchester City,DEF,4.0,7,286,0,0,6
Myles Lewis-Skelly,Arsenal,MID,4.0,14,285,0,0,6
Omar Marmoush,Manchester City,MID,4.0,12,272,1,1,6
James Trafford,Manchester City,GK,5.4,3,270,0,0,3
Conor Gallagher,Tottenham,MID,5.9,3,267,0,1,6
Joseph Gomez,Liverpool,DEF,4.0,11,264,0,2,6
Pablo,West Ham,MID,3.94,4,259,0,0,4
Sebastiaan Bornauw,Leeds,DEF,4.0,7,257,0,0,6
Ethan Pinnock,Brentford,DEF,3.93,3,240,0,0,3
Nathan Patterson,Everton,MID,4.0,6,240,0,0,6
Olivier Boscagli,Brighton,DEF,4.0,5,235,0,1,5
Marc Guiu,"Chelsea,Sunderland",MID,4.0,9,233,0,1,6
Jack Harrison,Leeds,MID,4.0,11,232,0,0,6
Dominic Solanke,Tottenham,FWD,6.06,5,222,2,0,5
Fernando López,Wolverhampton Wanderers,MID,4.0,9,211,0,1,6
Gabriel Jesus,Arsenal,MID,4.52,9,199,2,0,6
Diego Coppola,Brighton,DEF,4.0,5,192,0,0,5
Yves Bissouma,Tottenham,MID,3.73,3,188,0,0,3
Joël Piroe,Leeds,MID,4.0,11,186,0,0,6
Federico Chiesa,Liverpool,MID,4.0,17,183,2,1,6
William Osula,Newcastle United,MID,4.0,11,183,1,0,6
Taiwo Awoniyi,Nottingham Forest,MID,4.0,8,180,1,0,6
Naif Aguerd,West Ham,DEF,4.74,2,180,0,0,6
Matt O'Riley,Brighton,MID,4.0,2,179,1,0,6
Andy Irving,West Ham,MID,4.0,7,178,0,0,6
Filip Jorgensen,Chelsea,GK,4.8,2,175,0,0,2
Charalampos Kostoulas,Brighton,MID,4.0,14,172,2,1,6
Guido Rodríguez,West Ham,MID,4.0,6,159,0,0,6
Ethan Nwaneri,Arsenal,MID,4.0,6,154,0,0,6
James McAtee,Nottingham Forest,MID,4.0,7,152,0,0,6
Oliver Sonne,Burnley,MID,4.0,7,149,1,0,6
Tyrique George,Chelsea,MID,2.07,4,138,0,0,4
Max Alleyne,Manchester City,DEF,3.43,2,138,0,0,2
Ben Davies,Tottenham,DEF,3.76,3,137,1,0,3
Jenson Seelt,Sunderland,DEF,4.62,2,135,0,0,6
Arthur Masuaku,Sunderland,DEF,3.04,3,132,0,0,3
Jarrad Branthwaite,Everton,DEF,3.3,2,132,0,0,2
Joe Worrall,Burnley,DEF,4.0,6,132,0,0,6
Luis Guilherme,West Ham,MID,4.0,5,118,0,0,5
Stefanos Tzimas,Brighton,FWD,4.0,9,111,1,1,6
Harvey Elliott,"Aston Villa,Liverpool",MID,4.0,5,110,0,0,5
Christantus Uche,Crystal Palace,MID,4.0,12,104,0,0,6
Fabio Carvalho,Brentford,MID,4.0,6,97,1,0,6
Jack Fletcher,Manchester United,MID,2.62,3,97,0,0,3
Romeo Lavia,Chelsea,MID,1.62,4,96,0,0,4
Ezra Mayers,West Ham,MID,4.0,5,95,0,0,5
Igor Julio,West Ham,DEF,1.83,4,94,0,0,4
Kai Havertz,Arsenal,MID,2.61,2,92,0,0,2
Wataru Endo,Liverpool,MID,4.0,7,92,0,1,6
Radu Dragusin,Tottenham,DEF,2.04,3,92,0,0,3
Tammy Abraham,Aston Villa,FWD,4.78,1,90,0,0,1
Jair,Nottingham Forest,DEF,3.84,1,90,0,0,1
Ross Barkley,Aston Villa,MID,4.0,7,87,1,0,6
Enes Ünal,Bournemouth,MID,4.0,10,84,1,0,6
Chadi Riad,Crystal Palace,DEF,3.55,2,79,0,1,2
Arnaud Kalimuendo Muinga,Nottingham Forest,FWD,6.47,9,75,0,0,6
Frank Onyeka,Brentford,MID,4.0,6,68,0,1,6
Leon Bailey,Aston Villa,MID,4.0,2,67,0,0,6
Facundo Buonanotte,"Chelsea,Leeds",MID,1.73,3,67,0,0,3
Rio Ngumoha,Liverpool,MID,4.0,8,52,1,0,6
Emil Krafth,Newcastle United,DEF,2.4,1,51,0,0,1
Antoni Milambo,Brentford,MID,2.4,1,50,0,0,1
Reiss Nelson,Brentford,MID,4.0,6,47,0,0,6
